sn,youtube_ID,date,title,speaker,affiliation,event,host
38,1Q7FGY-rNM4,2017-02-21,今天吃魚了沒？ 魚類抗菌肽將可能是抗癌與抗菌之新一代藥物,陳志毅,細胞與個體生物學研究所研究員,106年2月知識饗宴,劉扶東副院長
39,XpGWLuNYPUA,2017-01-10,自然語言理解－人工智慧的最終關卡,許聞廉,資訊科學研究所特聘研究員,106年1月知識饗宴,周美吟副院長
40,C8lWuI1MJ3k,2017-04-25,有機生物電子 - 電子元件和生物醫學的的結合,尤嘯華,化學研究所副研究員,106年4月知識饗宴,周美吟副院長
41,KLi78LC9_mQ,2016-11-29,敵我難料- 神經退化疾病中的星形膠質細胞,陳儀莊,生物醫學科學研究所特聘研究員,105年11月知識饗宴,孫以瀚執行秘書
42,E993eX7m4YU,2016-10-25,光子新紀元｜應用科學研究中心,蔡定平,應用科學研究中心特聘研究員,105年10月知識饗宴,周美吟副院長
43,D9l8iXiw2aE,2016-09-20,杜聰明的漢醫藥研究之謎：傳統醫療、科學與東亞的現代性,雷祥麟,近代史研究所副研究員,105年9月知識饗宴,劉扶東副院長
44,rZxi0neFvbg,2016-08-30,小小果蠅立大功：對人類發育與疾病研究的貢獻,孫以瀚,分子生物研究所特聘研究員,105年8月知識饗宴,王惠鈞副院長
45,43ry8UqvASg,2016-07-26,奈米鑽石的前世今生,張煥正,原子與分子科學研究所特聘研究員,105年7月知識饗宴,王瑜副院長
46,xLFamznH8VM,2016-06-28,南科考古－發現臺灣五千年,李匡悌,歷史語言研究所博士,105年6月知識饗宴,王汎森代理院長
47,PUDon9dQc9M,2016-05-31,『生於憂患、死於安樂』的生態演化啟示,沈聖峰,生物多樣性研究中心副研究員,105年5月知識饗宴,王惠鈞副院長
48,e0Dd1cZuVE0,2016-04-26,從手機看世界,郭大維,資訊科技創新中心特聘研究員兼主任,105年4月知識饗宴,王瑜副院長
49,y5cVVXdDhes,2016-02-23,心肌再生—一個醫師科學家的追夢與狂想,謝清河,生物醫學科學研究所研究員,105年2月知識饗宴,王惠鈞副院長
50,nHVb7jL2f2s,2016-01-26,全球暖化趨勢與防災因應,汪中和,地球科學研究所研究員,105年1月知識饗宴,王瑜副院長
51,zzGFJTmqBWg,2015-12-29,統計學、賽局理論和政治學：這三者有什麼關係？,林繼文,政治學研究所研究員,104年12月知識饗宴,王汎森副院長
52,Dhx5K3qpaKY,2015-11-24,臺灣農業之永續發展,施明哲,農業生物科技研究中心特聘研究員,104年11月知識饗宴,王汎森副院長
53,XIjS9QGvBO4,2015-10-27,探索人類蛋白質體及在生物醫學的角色,陳玉如,化學研究所研究員,104年10月知識饗宴,王瑜副院長
54,INM02TtiQmQ,2015-09-22,我們為何在乎歷史?,王明珂,院士,104年9月知識饗宴,王瑜副院長
55,3hfjphDOtSE,2015-08-28,防癌疫苗-由肝癌說起,張美惠,院士,104年8月知識饗宴,陳建仁副院長
56,eig0oolLJxM,2015-07-28,追尋產生更高超導溫度的機制,李定國,物理研究所特聘研究員兼所長,104年7月知識饗宴,王瑜副院長
57,X32GFU8wjJA,2015-06-30,詩歌的音樂美,曾永義,院士,104年6月知識饗宴,王瑜副院長
